date,sku,region,temp,promo,event,sales
2025-02-16,Coke500,Bangalore,37,1,0,11178
2025-02-17,Coke500,Bangalore,35,0,0,8604
2025-02-18,Coke500,Bangalore,21,1,1,11154
2025-02-19,Coke500,Bangalore,28,0,0,8459
2025-02-20,Coke500,Bangalore,35,0,0,9159
2025-02-21,Coke500,Bangalore,30,1,0,10139
2025-02-22,Coke500,Bangalore,27,0,0,9021
2025-02-23,Coke500,Bangalore,37,0,0,9519
2025-02-24,Coke500,Bangalore,41,0,1,10854
2025-02-25,Coke500,Bangalore,27,0,0,8326
2025-02-26,Coke500,Bangalore,20,0,0,7378
2025-02-27,Coke500,Bangalore,25,1,0,9590
2025-02-28,Coke500,Bangalore,27,0,0,9154
2025-03-01,Coke500,Bangalore,20,0,0,8402
2025-03-02,Coke500,Bangalore,38,0,0,9279
2025-03-03,Coke500,Bangalore,25,0,0,8101
2025-03-04,Coke500,Bangalore,36,0,0,8769
2025-03-05,Coke500,Bangalore,20,0,0,7594
2025-03-06,Coke500,Bangalore,29,1,0,9428
2025-03-07,Coke500,Bangalore,34,1,0,10140
2025-03-08,Coke500,Bangalore,29,0,0,9418
2025-03-09,Coke500,Bangalore,35,0,0,9890
2025-03-10,Coke500,Bangalore,22,0,0,7579
2025-03-11,Coke500,Bangalore,27,0,0,8482
2025-03-12,Coke500,Bangalore,31,0,0,8185
2025-03-13,Coke500,Bangalore,41,0,0,10054
2025-03-14,Coke500,Bangalore,41,0,0,9186
2025-03-15,Coke500,Bangalore,20,0,0,8273
2025-03-16,Coke500,Bangalore,31,0,0,9267
2025-03-17,Coke500,Bangalore,34,0,0,8698
2025-03-18,Coke500,Bangalore,35,1,0,10488
2025-03-19,Coke500,Bangalore,38,0,0,9025
2025-03-20,Coke500,Bangalore,24,0,0,8628
2025-03-21,Coke500,Bangalore,20,0,0,7570
2025-03-22,Coke500,Bangalore,21,0,0,8535
2025-03-23,Coke500,Bangalore,24,0,0,9367
2025-03-24,Coke500,Bangalore,31,0,0,8552
2025-03-25,Coke500,Bangalore,24,0,0,7849
2025-03-26,Coke500,Bangalore,39,0,0,9503
2025-03-27,Coke500,Bangalore,23,0,0,8193
2025-03-28,Coke500,Bangalore,29,1,0,9694
2025-03-29,Coke500,Bangalore,24,0,0,8920
2025-03-30,Coke500,Bangalore,35,0,0,9768
2025-03-31,Coke500,Bangalore,31,0,0,8691
2025-04-01,Coke500,Bangalore,20,0,0,8115
2025-04-02,Coke500,Bangalore,27,1,0,9668
2025-04-03,Coke500,Bangalore,32,0,0,8767
2025-04-04,Coke500,Bangalore,36,0,0,8924
2025-04-05,Coke500,Bangalore,29,0,0,8907
2025-04-06,Coke500,Bangalore,40,0,0,9867
2025-04-07,Coke500,Bangalore,23,0,1,9148
2025-04-08,Coke500,Bangalore,22,1,0,9550
2025-04-09,Coke500,Bangalore,37,0,0,9188
2025-04-10,Coke500,Bangalore,31,0,0,8975
2025-04-11,Coke500,Bangalore,22,0,0,8325
2025-04-12,Coke500,Bangalore,41,0,0,10060
2025-04-13,Coke500,Bangalore,23,0,0,8532
2025-04-14,Coke500,Bangalore,33,0,0,8630
2025-04-15,Coke500,Bangalore,34,0,0,9231
2025-04-16,Coke500,Bangalore,40,0,0,10016
2025-04-17,Coke500,Bangalore,26,0,0,8276
2025-04-18,Coke500,Bangalore,24,0,0,7890
2025-04-19,Coke500,Bangalore,30,0,0,9358
2025-04-20,Coke500,Bangalore,25,0,0,9181
2025-04-21,Coke500,Bangalore,29,0,0,8507
2025-04-22,Coke500,Bangalore,25,1,0,9021
2025-04-23,Coke500,Bangalore,20,0,0,7829
2025-04-24,Coke500,Bangalore,23,0,0,8261
2025-04-25,Coke500,Bangalore,31,0,0,8563
2025-04-26,Coke500,Bangalore,39,0,0,9892
2025-04-27,Coke500,Bangalore,28,0,0,8852
2025-04-28,Coke500,Bangalore,36,0,0,8628
2025-04-29,Coke500,Bangalore,40,1,0,10594
2025-04-30,Coke500,Bangalore,30,1,0,10069
2025-05-01,Coke500,Bangalore,38,1,0,10849
2025-05-02,Coke500,Bangalore,20,0,0,8061
2025-05-03,Coke500,Bangalore,35,0,0,9311
2025-05-04,Coke500,Bangalore,40,0,0,9903
2025-05-05,Coke500,Bangalore,27,0,0,7760
2025-05-06,Coke500,Bangalore,39,0,0,9402
2025-05-07,Coke500,Bangalore,32,1,0,9537
2025-05-08,Coke500,Bangalore,37,0,0,9683
2025-05-09,Coke500,Bangalore,20,0,0,7589
2025-05-10,Coke500,Bangalore,36,0,0,10084
2025-05-11,Coke500,Bangalore,22,0,0,8599
2025-05-12,Coke500,Bangalore,24,1,1,10948
2025-05-13,Coke500,Bangalore,40,0,0,9180
2025-05-14,Coke500,Bangalore,40,0,0,9780
2025-05-15,Coke500,Bangalore,38,0,0,9314
2025-05-16,Coke500,Bangalore,21,0,0,8002
2025-05-17,Coke500,Bangalore,21,0,0,8735
2025-05-18,Coke500,Bangalore,31,0,0,9083
2025-05-19,Coke500,Bangalore,36,0,0,9247
2025-05-20,Coke500,Bangalore,21,0,0,8264
2025-05-21,Coke500,Bangalore,21,0,0,7499
2025-05-22,Coke500,Bangalore,21,0,0,7242
2025-05-23,Coke500,Bangalore,34,0,0,8382
2025-05-24,Coke500,Bangalore,24,1,0,9877
2025-05-25,Coke500,Bangalore,32,0,0,9479
2025-05-26,Coke500,Bangalore,35,0,0,8355
2025-05-27,Coke500,Bangalore,27,0,0,8633
2025-05-28,Coke500,Bangalore,37,0,0,9063
2025-05-29,Coke500,Bangalore,40,0,0,9341
2025-05-30,Coke500,Bangalore,33,0,0,8503
2025-05-31,Coke500,Bangalore,32,0,0,9923
2025-06-01,Coke500,Bangalore,30,1,0,10314
2025-06-02,Coke500,Bangalore,23,0,0,7854
2025-06-03,Coke500,Bangalore,41,0,0,9281
2025-06-04,Coke500,Bangalore,33,0,0,8986
2025-06-05,Coke500,Bangalore,33,0,0,8907
2025-06-06,Coke500,Bangalore,37,0,0,8890
2025-06-07,Coke500,Bangalore,24,0,0,8422
2025-06-08,Coke500,Bangalore,36,0,0,10160
2025-06-09,Coke500,Bangalore,22,0,0,8198
2025-06-10,Coke500,Bangalore,23,0,0,7881
2025-06-11,Coke500,Bangalore,38,0,0,9688
2025-06-12,Coke500,Bangalore,39,0,0,8874
2025-06-13,Coke500,Bangalore,41,0,0,9622
2025-06-14,Coke500,Bangalore,35,0,0,9325
2025-06-15,Coke500,Bangalore,28,0,0,8850
2025-06-16,Coke500,Bangalore,27,0,1,10186
2025-06-17,Coke500,Bangalore,30,0,0,8846
2025-06-18,Coke500,Bangalore,36,0,0,9223
2025-06-19,Coke500,Bangalore,30,0,0,8823
2025-06-20,Coke500,Bangalore,31,0,1,10181
2025-06-21,Coke500,Bangalore,39,0,0,10085
2025-06-22,Coke500,Bangalore,33,0,0,9394
2025-06-23,Coke500,Bangalore,30,0,0,8210
2025-06-24,Coke500,Bangalore,29,0,0,8681
2025-06-25,Coke500,Bangalore,39,0,0,8990
2025-06-26,Coke500,Bangalore,36,0,0,9440
2025-06-27,Coke500,Bangalore,36,0,0,9193
2025-06-28,Coke500,Bangalore,37,0,0,9759
2025-06-29,Coke500,Bangalore,41,0,0,10007
2025-06-30,Coke500,Bangalore,30,0,0,8478
2025-07-01,Coke500,Bangalore,24,0,0,7998
2025-07-02,Coke500,Bangalore,23,0,0,7863
2025-07-03,Coke500,Bangalore,27,0,0,8906
2025-07-04,Coke500,Bangalore,25,0,0,7615
2025-07-05,Coke500,Bangalore,34,0,0,9793
2025-07-06,Coke500,Bangalore,27,0,0,8373
2025-07-07,Coke500,Bangalore,38,0,0,8984
2025-07-08,Coke500,Bangalore,34,0,0,9037
2025-07-09,Coke500,Bangalore,25,0,0,8648
2025-07-10,Coke500,Bangalore,20,0,0,7917
2025-07-11,Coke500,Bangalore,20,0,0,7874
2025-07-12,Coke500,Bangalore,34,0,0,9880
2025-07-13,Coke500,Bangalore,24,0,0,8560
2025-07-14,Coke500,Bangalore,32,0,0,8858
2025-07-15,Coke500,Bangalore,30,0,0,9137
2025-07-16,Coke500,Bangalore,29,0,0,7990
2025-07-17,Coke500,Bangalore,30,0,0,8392
2025-07-18,Coke500,Bangalore,37,0,0,9668
2025-07-19,Coke500,Bangalore,24,0,0,8871
2025-07-20,Coke500,Bangalore,28,0,0,8717
2025-07-21,Coke500,Bangalore,40,0,0,9336
2025-07-22,Coke500,Bangalore,20,0,0,7266
2025-07-23,Coke500,Bangalore,28,0,0,8872
2025-07-24,Coke500,Bangalore,40,0,0,9689
2025-07-25,Coke500,Bangalore,25,0,0,8099
2025-07-26,Coke500,Bangalore,21,1,0,9795
2025-07-27,Coke500,Bangalore,39,0,0,9435
2025-07-28,Coke500,Bangalore,36,0,0,8852
2025-07-29,Coke500,Bangalore,36,0,1,10657
2025-07-30,Coke500,Bangalore,36,0,0,8652
2025-07-31,Coke500,Bangalore,26,0,0,8298
2025-08-01,Coke500,Bangalore,38,0,0,9041
2025-08-02,Coke500,Bangalore,32,0,0,9169
2025-08-03,Coke500,Bangalore,38,0,0,10230
2025-08-04,Coke500,Bangalore,36,0,0,8256
2025-08-05,Coke500,Bangalore,23,0,0,7969
2025-08-06,Coke500,Bangalore,29,0,0,8652
2025-08-07,Coke500,Bangalore,20,0,0,8054
2025-08-08,Coke500,Bangalore,20,0,0,8155
2025-08-09,Coke500,Bangalore,27,0,0,9084
2025-08-10,Coke500,Bangalore,34,0,0,9178
2025-08-11,Coke500,Bangalore,33,0,0,8731
2025-08-12,Coke500,Bangalore,35,0,0,8656
2025-08-13,Coke500,Bangalore,20,0,0,7871
2025-08-14,Coke500,Bangalore,37,0,0,8758
2025-08-15,Coke500,Bangalore,39,0,0,9195
2025-08-16,Coke500,Bangalore,39,0,0,9864
2025-08-17,Coke500,Bangalore,28,0,0,9305
2025-08-18,Coke500,Bangalore,36,0,0,9044
2025-08-19,Coke500,Bangalore,28,0,0,8227
2025-08-20,Coke500,Bangalore,30,0,0,8448
2025-08-21,Coke500,Bangalore,32,0,0,8770
2025-08-22,Coke500,Bangalore,29,0,0,8887
2025-08-23,Coke500,Bangalore,36,0,0,9485
2025-08-24,Coke500,Bangalore,41,0,0,10148
2025-08-25,Coke500,Bangalore,25,0,0,8144
2025-08-26,Coke500,Bangalore,29,1,0,10383
2025-08-27,Coke500,Bangalore,33,0,0,8709
2025-08-28,Coke500,Bangalore,23,0,0,8073
2025-08-29,Coke500,Bangalore,30,0,0,8281
2025-08-30,Coke500,Bangalore,22,1,0,10050
2025-08-31,Coke500,Bangalore,41,0,0,10143
2025-09-01,Coke500,Bangalore,38,0,0,8698
2025-09-02,Coke500,Bangalore,32,0,0,8098
2025-09-03,Coke500,Bangalore,27,0,0,8228
2025-09-04,Coke500,Bangalore,30,0,0,8869
2025-09-05,Coke500,Bangalore,36,0,1,10675
2025-09-06,Coke500,Bangalore,36,0,0,9768
2025-09-07,Coke500,Bangalore,40,0,0,10157
2025-09-08,Coke500,Bangalore,35,0,0,8516
2025-09-09,Coke500,Bangalore,28,1,0,9596
2025-09-10,Coke500,Bangalore,29,0,1,9918
2025-09-11,Coke500,Bangalore,26,0,0,9035
2025-09-12,Coke500,Bangalore,28,0,0,8821
2025-09-13,Coke500,Bangalore,39,0,0,9786
2025-09-14,Coke500,Bangalore,29,0,0,9364
2025-09-15,Coke500,Bangalore,32,0,0,8130
2025-09-16,Coke500,Bangalore,27,0,0,8734
2025-09-17,Coke500,Bangalore,23,0,0,8109
2025-09-18,Coke500,Bangalore,37,0,0,9068
2025-09-19,Coke500,Bangalore,22,0,0,8232
2025-09-20,Coke500,Bangalore,32,0,0,9700
2025-09-21,Coke500,Bangalore,40,0,0,9768
2025-09-22,Coke500,Bangalore,31,1,0,9349
2025-09-23,Coke500,Bangalore,24,0,0,7566
2025-09-24,Coke500,Bangalore,32,0,0,8432
2025-09-25,Coke500,Bangalore,35,0,1,10543
2025-09-26,Coke500,Bangalore,28,0,0,8219
2025-09-27,Coke500,Bangalore,25,1,0,10214
2025-09-28,Coke500,Bangalore,30,1,1,12144
2025-09-29,Coke500,Bangalore,27,1,0,9550
2025-09-30,Coke500,Bangalore,40,0,0,9335
2025-10-01,Coke500,Bangalore,28,0,0,8263
2025-10-02,Coke500,Bangalore,25,0,0,8202
2025-10-03,Coke500,Bangalore,39,1,0,10044
2025-10-04,Coke500,Bangalore,29,0,0,9764
2025-10-05,Coke500,Bangalore,34,0,0,9294
2025-10-06,Coke500,Bangalore,24,0,0,7910
2025-10-07,Coke500,Bangalore,28,0,0,8297
2025-10-08,Coke500,Bangalore,29,0,0,8238
2025-10-09,Coke500,Bangalore,34,0,0,8925
2025-10-10,Coke500,Bangalore,35,0,0,9182
2025-10-11,Coke500,Bangalore,24,1,0,9575
2025-10-12,Coke500,Bangalore,32,0,0,9187
2025-10-13,Coke500,Bangalore,21,0,0,8167
2025-10-14,Coke500,Bangalore,20,0,0,8053
2025-10-15,Coke500,Bangalore,35,0,0,9100
2025-10-16,Coke500,Bangalore,40,0,0,9179
2025-10-17,Coke500,Bangalore,30,1,0,9918
2025-10-18,Coke500,Bangalore,29,0,0,8887
2025-10-19,Coke500,Bangalore,23,0,0,8762
2025-10-20,Coke500,Bangalore,31,0,0,8711
2025-10-21,Coke500,Bangalore,36,0,0,9067
2025-10-22,Coke500,Bangalore,32,0,0,8808
2025-10-23,Coke500,Bangalore,21,0,0,8327
2025-10-24,Coke500,Bangalore,24,0,0,7960
2025-10-25,Coke500,Bangalore,36,0,0,9712
2025-10-26,Coke500,Bangalore,41,0,0,9886
2025-10-27,Coke500,Bangalore,31,0,0,8767
2025-10-28,Coke500,Bangalore,25,0,0,8140
2025-10-29,Coke500,Bangalore,23,0,0,7646
2025-10-30,Coke500,Bangalore,26,0,0,8504
2025-10-31,Coke500,Bangalore,34,0,0,8745
2025-11-01,Coke500,Bangalore,22,1,0,9929
2025-11-02,Coke500,Bangalore,35,0,1,11344
2025-11-03,Coke500,Bangalore,38,0,1,11283
2025-11-04,Coke500,Bangalore,34,0,0,8832
2025-11-05,Coke500,Bangalore,36,0,0,9029
2025-11-06,Coke500,Bangalore,27,0,0,8669
2025-11-07,Coke500,Bangalore,40,0,0,9262
2025-11-08,Coke500,Bangalore,31,0,0,9260
2025-11-09,Coke500,Bangalore,22,0,0,8106
2025-11-10,Coke500,Bangalore,28,0,0,8595
2025-11-11,Coke500,Bangalore,41,0,0,9263
2025-11-12,Coke500,Bangalore,32,0,0,9032
2025-11-13,Coke500,Bangalore,37,0,0,9441
2025-11-14,Coke500,Bangalore,20,1,0,8645
2025-11-15,Coke500,Bangalore,30,0,0,9172
2025-11-16,Coke500,Bangalore,41,0,0,9706
2025-11-17,Coke500,Bangalore,27,0,0,8071
2025-11-18,Coke500,Bangalore,32,0,0,8745
2025-11-19,Coke500,Bangalore,41,0,1,11443
2025-11-20,Coke500,Bangalore,34,0,0,8600
2025-11-21,Coke500,Bangalore,36,1,0,10317
2025-11-22,Coke500,Bangalore,28,0,0,9278
2025-11-23,Coke500,Bangalore,37,1,0,11313
2025-11-24,Coke500,Bangalore,34,0,0,9061
2025-11-25,Coke500,Bangalore,39,0,0,9263
2025-11-26,Coke500,Bangalore,28,0,0,8863
2025-11-27,Coke500,Bangalore,37,0,0,8824
2025-11-28,Coke500,Bangalore,40,0,0,9215
2025-11-29,Coke500,Bangalore,37,0,0,9885
2025-11-30,Coke500,Bangalore,22,0,0,7934
2025-12-01,Coke500,Bangalore,41,0,0,9781
2025-12-02,Coke500,Bangalore,39,0,0,9260
2025-12-03,Coke500,Bangalore,39,0,0,10072
2025-12-04,Coke500,Bangalore,40,0,0,9497
2025-12-05,Coke500,Bangalore,34,1,0,10289
2025-12-06,Coke500,Bangalore,41,0,0,9581
2025-12-07,Coke500,Bangalore,37,0,0,9854
2025-12-08,Coke500,Bangalore,35,0,0,8768
2025-12-09,Coke500,Bangalore,33,1,0,10006
2025-12-10,Coke500,Bangalore,41,0,0,9805
2025-12-11,Coke500,Bangalore,26,0,0,8145
2025-12-12,Coke500,Bangalore,21,0,0,7518
2025-12-13,Coke500,Bangalore,20,0,0,8359
2025-12-14,Coke500,Bangalore,30,0,0,9317
2025-12-15,Coke500,Bangalore,35,0,0,8896
2025-12-16,Coke500,Bangalore,39,0,0,9664
2025-12-17,Coke500,Bangalore,41,0,0,9708
2025-12-18,Coke500,Bangalore,24,0,0,8460
2025-12-19,Coke500,Bangalore,34,0,0,8795
2025-12-20,Coke500,Bangalore,21,0,0,8288
2025-12-21,Coke500,Bangalore,20,0,0,8317
2025-12-22,Coke500,Bangalore,36,0,0,9188
2025-12-23,Coke500,Bangalore,39,1,1,12568
2025-12-24,Coke500,Bangalore,34,0,0,8997
2025-12-25,Coke500,Bangalore,25,0,0,8506
2025-12-26,Coke500,Bangalore,29,0,0,8182
2025-12-27,Coke500,Bangalore,40,0,0,10295
2025-12-28,Coke500,Bangalore,41,0,0,10004
2025-12-29,Coke500,Bangalore,30,0,0,8862
2025-12-30,Coke500,Bangalore,27,0,0,8426
2025-12-31,Coke500,Bangalore,33,1,0,10265
2025-01-01,Coke500,Chennai,21,1,0,9715
2025-01-02,Coke500,Chennai,28,0,1,10230
2025-01-03,Coke500,Chennai,28,0,0,8592
2025-01-04,Coke500,Chennai,25,0,0,9070
2025-01-05,Coke500,Chennai,28,0,0,9341
2025-01-06,Coke500,Chennai,20,0,0,7507
2025-01-07,Coke500,Chennai,40,0,0,8997
2025-01-08,Coke500,Chennai,20,0,0,8383
2025-01-09,Coke500,Chennai,29,0,0,8913
2025-01-10,Coke500,Chennai,40,0,0,9354
2025-01-11,Coke500,Chennai,31,0,0,9365
2025-01-12,Coke500,Chennai,34,0,0,9814
2025-01-13,Coke500,Chennai,37,0,0,9423
2025-01-14,Coke500,Chennai,40,0,0,9718
2025-01-15,Coke500,Chennai,23,1,0,9415
2025-01-16,Coke500,Chennai,40,0,0,9608
2025-01-17,Coke500,Chennai,40,0,0,9157
2025-01-18,Coke500,Chennai,34,0,0,9687
2025-01-19,Coke500,Chennai,21,0,0,8427
2025-01-20,Coke500,Chennai,30,0,0,8528
2025-01-21,Coke500,Chennai,36,0,0,9325
2025-01-22,Coke500,Chennai,23,0,0,7992
2025-01-23,Coke500,Chennai,32,0,1,10996
2025-01-24,Coke500,Chennai,41,0,0,9360
2025-01-25,Coke500,Chennai,29,0,0,9012
2025-01-26,Coke500,Chennai,29,1,0,10635
2025-01-27,Coke500,Chennai,37,0,0,9040
2025-01-28,Coke500,Chennai,26,0,0,8120
2025-01-29,Coke500,Chennai,37,0,0,9894
2025-01-30,Coke500,Chennai,31,0,0,9138
2025-01-31,Coke500,Chennai,30,0,0,9178
2025-02-01,Coke500,Chennai,21,0,0,8385
2025-02-02,Coke500,Chennai,26,0,0,9539
2025-02-03,Coke500,Chennai,33,0,0,8444
2025-02-04,Coke500,Chennai,33,0,0,9100
2025-02-05,Coke500,Chennai,23,0,0,7936
2025-02-06,Coke500,Chennai,23,0,0,7763
2025-02-07,Coke500,Chennai,24,0,0,8400
2025-02-08,Coke500,Chennai,22,0,0,8184
2025-02-09,Coke500,Chennai,22,0,0,8201
2025-02-10,Coke500,Chennai,22,0,0,7652
2025-02-11,Coke500,Chennai,27,0,0,8484
2025-02-12,Coke500,Chennai,34,0,0,9124
2025-02-13,Coke500,Chennai,35,0,0,9084
2025-02-14,Coke500,Chennai,32,0,1,10766
2025-02-15,Coke500,Chennai,41,1,0,11734
2025-02-16,Coke500,Chennai,40,0,0,10133
2025-02-17,Coke500,Chennai,27,0,0,8602
2025-02-18,Coke500,Chennai,21,0,0,8145
2025-02-19,Coke500,Chennai,37,0,0,8884
2025-02-20,Coke500,Chennai,20,0,0,7675
2025-02-21,Coke500,Chennai,23,0,0,8240
2025-02-22,Coke500,Chennai,24,0,0,9231
2025-02-23,Coke500,Chennai,36,0,0,10046
2025-02-24,Coke500,Chennai,33,0,0,8843
2025-02-25,Coke500,Chennai,39,0,0,9624
2025-02-26,Coke500,Chennai,21,0,0,8007
2025-02-27,Coke500,Chennai,23,0,0,8217
2025-02-28,Coke500,Chennai,25,0,0,8256
2025-03-01,Coke500,Chennai,27,0,0,9018
2025-03-02,Coke500,Chennai,31,1,0,10550
2025-03-03,Coke500,Chennai,32,1,0,10268
2025-03-04,Coke500,Chennai,30,0,0,8553
2025-03-05,Coke500,Chennai,38,0,0,9162
2025-03-06,Coke500,Chennai,30,0,0,8510
2025-03-07,Coke500,Chennai,34,1,0,10026
2025-03-08,Coke500,Chennai,35,0,0,9600
2025-03-09,Coke500,Chennai,23,1,0,9470
2025-03-10,Coke500,Chennai,39,0,0,9684
2025-03-11,Coke500,Chennai,37,0,0,8840
2025-03-12,Coke500,Chennai,26,0,0,8303
2025-03-13,Coke500,Chennai,26,0,0,8362
2025-03-14,Coke500,Chennai,40,0,0,9438
2025-03-15,Coke500,Chennai,29,0,0,8751
2025-03-16,Coke500,Chennai,37,0,0,10160
2025-03-17,Coke500,Chennai,24,1,0,9446
2025-03-18,Coke500,Chennai,40,0,0,9199
2025-03-19,Coke500,Chennai,23,0,0,8458
2025-03-20,Coke500,Chennai,39,0,0,9570
2025-03-21,Coke500,Chennai,29,0,1,10210
2025-03-22,Coke500,Chennai,20,0,0,8802
2025-03-23,Coke500,Chennai,20,0,0,8464
2025-03-24,Coke500,Chennai,30,0,0,8967
2025-03-25,Coke500,Chennai,41,0,0,9580
2025-03-26,Coke500,Chennai,38,0,1,10904
2025-03-27,Coke500,Chennai,24,0,0,8448
2025-03-28,Coke500,Chennai,38,0,0,9699
2025-03-29,Coke500,Chennai,24,0,0,8881
2025-03-30,Coke500,Chennai,39,0,0,10005
2025-03-31,Coke500,Chennai,38,0,0,9686
2025-04-01,Coke500,Chennai,29,0,0,8826
2025-04-02,Coke500,Chennai,36,0,0,8744
2025-04-03,Coke500,Chennai,37,0,0,9701
2025-04-04,Coke500,Chennai,23,0,0,7955
2025-04-05,Coke500,Chennai,37,0,0,9862
2025-04-06,Coke500,Chennai,27,0,0,9063
2025-04-07,Coke500,Chennai,21,0,0,8219
2025-04-08,Coke500,Chennai,27,0,0,8709
2025-04-09,Coke500,Chennai,37,1,0,9812
2025-04-10,Coke500,Chennai,40,0,0,9127
2025-04-11,Coke500,Chennai,26,0,0,8711
2025-04-12,Coke500,Chennai,37,0,0,9462
2025-04-13,Coke500,Chennai,30,0,0,9361
2025-04-14,Coke500,Chennai,41,0,0,9667
2025-04-15,Coke500,Chennai,39,0,0,9206
2025-04-16,Coke500,Chennai,38,0,0,9774
2025-04-17,Coke500,Chennai,20,0,0,7742
2025-04-18,Coke500,Chennai,38,0,0,9631
2025-04-19,Coke500,Chennai,24,0,0,8872
2025-04-20,Coke500,Chennai,35,0,0,9584
2025-04-21,Coke500,Chennai,22,0,0,8234
2025-04-22,Coke500,Chennai,30,0,0,8820
2025-04-23,Coke500,Chennai,21,0,0,8327
2025-04-24,Coke500,Chennai,39,0,0,9504
2025-04-25,Coke500,Chennai,33,0,1,10826
2025-04-26,Coke500,Chennai,39,0,0,10227
2025-04-27,Coke500,Chennai,24,0,0,8699
2025-04-28,Coke500,Chennai,23,0,0,7621
2025-04-29,Coke500,Chennai,40,0,0,9928
2025-04-30,Coke500,Chennai,29,0,0,8445
2025-05-01,Coke500,Chennai,33,0,0,9698
2025-05-02,Coke500,Chennai,39,0,0,9718
2025-05-03,Coke500,Chennai,38,0,0,10108
2025-05-04,Coke500,Chennai,41,0,0,10195
2025-05-05,Coke500,Chennai,32,0,0,9242
2025-05-06,Coke500,Chennai,20,0,0,8345
2025-05-07,Coke500,Chennai,30,0,0,8880
2025-05-08,Coke500,Chennai,20,0,0,7786
2025-05-09,Coke500,Chennai,25,1,0,9569
2025-05-10,Coke500,Chennai,26,0,0,8824
2025-05-11,Coke500,Chennai,37,0,0,9515
2025-05-12,Coke500,Chennai,41,0,0,9667
2025-05-13,Coke500,Chennai,29,0,0,8566
2025-05-14,Coke500,Chennai,24,0,0,8153
2025-05-15,Coke500,Chennai,24,0,0,8628
2025-05-16,Coke500,Chennai,26,1,0,9488
2025-05-17,Coke500,Chennai,39,0,1,11511
2025-05-18,Coke500,Chennai,31,0,0,9084
2025-05-19,Coke500,Chennai,33,0,0,8644
2025-05-20,Coke500,Chennai,41,0,0,9355
2025-05-21,Coke500,Chennai,23,0,0,7985
2025-05-22,Coke500,Chennai,30,0,0,8162
2025-05-23,Coke500,Chennai,34,0,0,8703
2025-05-24,Coke500,Chennai,39,0,0,10358
2025-05-25,Coke500,Chennai,33,0,1,11217
2025-05-26,Coke500,Chennai,37,0,0,9083
2025-05-27,Coke500,Chennai,38,1,0,10211
2025-05-28,Coke500,Chennai,28,0,0,8284
2025-05-29,Coke500,Chennai,41,0,0,9521
2025-05-30,Coke500,Chennai,21,0,0,8042
2025-05-31,Coke500,Chennai,21,0,0,8999
2025-06-01,Coke500,Chennai,20,0,0,8153
2025-06-02,Coke500,Chennai,29,0,0,8806
2025-06-03,Coke500,Chennai,26,0,0,8790
2025-06-04,Coke500,Chennai,29,1,0,9828
2025-06-05,Coke500,Chennai,36,0,0,9026
2025-06-06,Coke500,Chennai,33,0,0,8645
2025-06-07,Coke500,Chennai,27,0,0,8942
